Country,Year,Indicator Code,Indicator Name,Country Code,POP
isle of man,1960,SP.POP.GROW,Population growth (annual %),IMN,-0.906248175
india,1960,SP.POP.GROW,Population growth (annual %),IND,1.946992987
not classified,1960,SP.POP.GROW,Population growth (annual %),INX,
ireland,1960,SP.POP.GROW,Population growth (annual %),IRL,-0.280698792
"iran, islamic rep.",1960,SP.POP.GROW,Population growth (annual %),IRN,2.572550994
iraq,1960,SP.POP.GROW,Population growth (annual %),IRQ,2.419371179
iceland,1960,SP.POP.GROW,Population growth (annual %),ISL,1.795326707
israel,1960,SP.POP.GROW,Population growth (annual %),ISR,3.746722544
italy,1960,SP.POP.GROW,Population growth (annual %),ITA,1.993928406
jamaica,1960,SP.POP.GROW,Population growth (annual %),JAM,1.206635019
jordan,1960,SP.POP.GROW,Population growth (annual %),JOR,5.217456686
japan,1960,SP.POP.GROW,Population growth (annual %),JPN,0.889609026
kazakhstan,1960,SP.POP.GROW,Population growth (annual %),KAZ,4.44251666
kenya,1960,SP.POP.GROW,Population growth (annual %),KEN,3.068840401
kyrgyz republic,1960,SP.POP.GROW,Population growth (annual %),KGZ,3.062010269
cambodia,1960,SP.POP.GROW,Population growth (annual %),KHM,2.543176224
kiribati,1960,SP.POP.GROW,Population growth (annual %),KIR,2.437738083
st. kitts and nevis,1960,SP.POP.GROW,Population growth (annual %),KNA,0.436540868
"korea, rep.",1960,SP.POP.GROW,Population growth (annual %),KOR,2.907251725
kuwait,1960,SP.POP.GROW,Population growth (annual %),KWT,10.29780882
latin america & caribbean (excluding high income),1960,SP.POP.GROW,Population growth (annual %),LAC,
lao pdr,1960,SP.POP.GROW,Population growth (annual %),LAO,2.298701819
lebanon,1960,SP.POP.GROW,Population growth (annual %),LBN,3.252683647
liberia,1960,SP.POP.GROW,Population growth (annual %),LBR,2.153771865
libya,1960,SP.POP.GROW,Population growth (annual %),LBY,3.284252543
st. lucia,1960,SP.POP.GROW,Population growth (annual %),LCA,0.953394092
latin america & caribbean,1960,SP.POP.GROW,Population growth (annual %),LCN,
least developed countries: un classification,1960,SP.POP.GROW,Population growth (annual %),LDC,
low income,1960,SP.POP.GROW,Population growth (annual %),LIC,
liechtenstein,1960,SP.POP.GROW,Population growth (annual %),LIE,2.262442842
sri lanka,1960,SP.POP.GROW,Population growth (annual %),LKA,2.394592559
lower middle income,1960,SP.POP.GROW,Population growth (annual %),LMC,
low & middle income,1960,SP.POP.GROW,Population growth (annual %),LMY,
lesotho,1960,SP.POP.GROW,Population growth (annual %),LSO,1.666241461
late-demographic dividend,1960,SP.POP.GROW,Population growth (annual %),LTE,
lithuania,1960,SP.POP.GROW,Population growth (annual %),LTU,1.55001939
luxembourg,1960,SP.POP.GROW,Population growth (annual %),LUX,0.787241986
latvia,1960,SP.POP.GROW,Population growth (annual %),LVA,0.69012433
"macao sar, china",1960,SP.POP.GROW,Population growth (annual %),MAC,-0.293378374
st. martin (french part),1960,SP.POP.GROW,Population growth (annual %),MAF,4.005302952
morocco,1960,SP.POP.GROW,Population growth (annual %),MAR,3.111585356
monaco,1960,SP.POP.GROW,Population growth (annual %),MCO,2.15197608
moldova,1960,SP.POP.GROW,Population growth (annual %),MDA,2.507594077
madagascar,1960,SP.POP.GROW,Population growth (annual %),MDG,2.373729958
maldives,1960,SP.POP.GROW,Population growth (annual %),MDV,2.588648973
middle east & north africa,1960,SP.POP.GROW,Population growth (annual %),MEA,
mexico,1960,SP.POP.GROW,Population growth (annual %),MEX,3.151825623
marshall islands,1960,SP.POP.GROW,Population growth (annual %),MHL,1.87255919
middle income,1960,SP.POP.GROW,Population growth (annual %),MIC,
"macedonia, fyr",1960,SP.POP.GROW,Population growth (annual %),MKD,1.27254963
mali,1960,SP.POP.GROW,Population growth (annual %),MLI,1.11345093
malta,1960,SP.POP.GROW,Population growth (annual %),MLT,4.006627035
myanmar,1960,SP.POP.GROW,Population growth (annual %),MMR,2.146777995
middle east & north africa (excluding high income),1960,SP.POP.GROW,Population growth (annual %),MNA,
montenegro,1960,SP.POP.GROW,Population growth (annual %),MNE,1.936312915
mongolia,1960,SP.POP.GROW,Population growth (annual %),MNG,2.54642039
northern mariana islands,1960,SP.POP.GROW,Population growth (annual %),MNP,3.508776085
mozambique,1960,SP.POP.GROW,Population growth (annual %),MOZ,2.015977171
mauritania,1960,SP.POP.GROW,Population growth (annual %),MRT,2.85389046
mauritius,1960,SP.POP.GROW,Population growth (annual %),MUS,2.860416736
malawi,1960,SP.POP.GROW,Population growth (annual %),MWI,2.196757642
malaysia,1960,SP.POP.GROW,Population growth (annual %),MYS,3.063070255
north america,1960,SP.POP.GROW,Population growth (annual %),NAC,
namibia,1960,SP.POP.GROW,Population growth (annual %),NAM,2.370951637
new caledonia,1960,SP.POP.GROW,Population growth (annual %),NCL,3.901718956
niger,1960,SP.POP.GROW,Population growth (annual %),NER,2.788216609
nigeria,1960,SP.POP.GROW,Population growth (annual %),NGA,1.975903464
nicaragua,1960,SP.POP.GROW,Population growth (annual %),NIC,3.167579447
netherlands,1960,SP.POP.GROW,Population growth (annual %),NLD,1.952179064
norway,1960,SP.POP.GROW,Population growth (annual %),NOR,0.839368835
nepal,1960,SP.POP.GROW,Population growth (annual %),NPL,1.565623851
nauru,1960,SP.POP.GROW,Population growth (annual %),NRU,4.640186121
new zealand,1960,SP.POP.GROW,Population growth (annual %),NZL,1.730890137
oecd members,1960,SP.POP.GROW,Population growth (annual %),OED,
oman,1960,SP.POP.GROW,Population growth (annual %),OMN,2.275300067
other small states,1960,SP.POP.GROW,Population growth (annual %),OSS,
pakistan,1960,SP.POP.GROW,Population growth (annual %),PAK,2.291359946
panama,1960,SP.POP.GROW,Population growth (annual %),PAN,2.942816618
peru,1960,SP.POP.GROW,Population growth (annual %),PER,2.78763467
philippines,1960,SP.POP.GROW,Population growth (annual %),PHL,3.345492996
palau,1960,SP.POP.GROW,Population growth (annual %),PLW,2.979010881
papua new guinea,1960,SP.POP.GROW,Population growth (annual %),PNG,2.008571631
poland,1960,SP.POP.GROW,Population growth (annual %),POL,3.336060721
pre-demographic dividend,1960,SP.POP.GROW,Population growth (annual %),PRE,
puerto rico,1960,SP.POP.GROW,Population growth (annual %),PRI,0.937673373
"korea, dem. people’s rep.",1960,SP.POP.GROW,Population growth (annual %),PRK,2.472720649
portugal,1960,SP.POP.GROW,Population growth (annual %),PRT,0.04881682
paraguay,1960,SP.POP.GROW,Population growth (annual %),PRY,2.605333563
west bank and gaza,1960,SP.POP.GROW,Population growth (annual %),PSE,
pacific island small states,1960,SP.POP.GROW,Population growth (annual %),PSS,
post-demographic dividend,1960,SP.POP.GROW,Population growth (annual %),PST,
french polynesia,1960,SP.POP.GROW,Population growth (annual %),PYF,2.95052661
qatar,1960,SP.POP.GROW,Population growth (annual %),QAT,7.123544109
romania,1960,SP.POP.GROW,Population growth (annual %),ROU,0.830832465
russian federation,1960,SP.POP.GROW,Population growth (annual %),RUS,1.469496501
rwanda,1960,SP.POP.GROW,Population growth (annual %),RWA,2.510850098
south asia,1960,SP.POP.GROW,Population growth (annual %),SAS,
saudi arabia,1960,SP.POP.GROW,Population growth (annual %),SAU,2.998701903
sudan,1960,SP.POP.GROW,Population growth (annual %),SDN,2.901702513
senegal,1960,SP.POP.GROW,Population growth (annual %),SEN,2.707471077
singapore,1960,SP.POP.GROW,Population growth (annual %),SGP,6.35665285
solomon islands,1960,SP.POP.GROW,Population growth (annual %),SLB,2.927928656
sierra leone,1960,SP.POP.GROW,Population growth (annual %),SLE,1.333295822
el salvador,1960,SP.POP.GROW,Population growth (annual %),SLV,2.776845112
san marino,1960,SP.POP.GROW,Population growth (annual %),SMR,2.472346323
somalia,1960,SP.POP.GROW,Population growth (annual %),SOM,2.065936044
serbia,1960,SP.POP.GROW,Population growth (annual %),SRB,
sub-saharan africa (excluding high income),1960,SP.POP.GROW,Population growth (annual %),SSA,
south sudan,1960,SP.POP.GROW,Population growth (annual %),SSD,1.812133276
sub-saharan africa,1960,SP.POP.GROW,Population growth (annual %),SSF,
small states,1960,SP.POP.GROW,Population growth (annual %),SST,
sao tome and principe,1960,SP.POP.GROW,Population growth (annual %),STP,1.213502612
suriname,1960,SP.POP.GROW,Population growth (annual %),SUR,2.903460232
slovak republic,1960,SP.POP.GROW,Population growth (annual %),SVK,0.871415509
slovenia,1960,SP.POP.GROW,Population growth (annual %),SVN,0.901878951
sweden,1960,SP.POP.GROW,Population growth (annual %),SWE,0.670032595
eswatini,1960,SP.POP.GROW,Population growth (annual %),SWZ,2.442716414
sint maarten (dutch part),1960,SP.POP.GROW,Population growth (annual %),SXM,
seychelles,1960,SP.POP.GROW,Population growth (annual %),SYC,
syrian arab republic,1960,SP.POP.GROW,Population growth (annual %),SYR,3.185901703
turks and caicos islands,1960,SP.POP.GROW,Population growth (annual %),TCA,1.230027808
chad,1960,SP.POP.GROW,Population growth (annual %),TCD,1.900003581
east asia & pacific (ida & ibrd countries),1960,SP.POP.GROW,Population growth (annual %),TEA,
europe & central asia (ida & ibrd countries),1960,SP.POP.GROW,Population growth (annual %),TEC,
togo,1960,SP.POP.GROW,Population growth (annual %),TGO,1.327265282
thailand,1960,SP.POP.GROW,Population growth (annual %),THA,2.951835181
tajikistan,1960,SP.POP.GROW,Population growth (annual %),TJK,3.237410465
turkmenistan,1960,SP.POP.GROW,Population growth (annual %),TKM,3.351775183
latin america & the caribbean (ida & ibrd countries),1960,SP.POP.GROW,Population growth (annual %),TLA,
timor-leste,1960,SP.POP.GROW,Population growth (annual %),TLS,1.720282938
middle east & north africa (ida & ibrd countries),1960,SP.POP.GROW,Population growth (annual %),TMN,
tonga,1960,SP.POP.GROW,Population growth (annual %),TON,2.845245192
south asia (ida & ibrd),1960,SP.POP.GROW,Population growth (annual %),TSA,
sub-saharan africa (ida & ibrd countries),1960,SP.POP.GROW,Population growth (annual %),TSS,
trinidad and tobago,1960,SP.POP.GROW,Population growth (annual %),TTO,2.263548627
tunisia,1960,SP.POP.GROW,Population growth (annual %),TUN,1.273002195
turkey,1960,SP.POP.GROW,Population growth (annual %),TUR,2.445583782
tuvalu,1960,SP.POP.GROW,Population growth (annual %),TUV,2.018933377
tanzania,1960,SP.POP.GROW,Population growth (annual %),TZA,2.894982738
uganda,1960,SP.POP.GROW,Population growth (annual %),UGA,3.03775927
ukraine,1960,SP.POP.GROW,Population growth (annual %),UKR,1.254451028
upper middle income,1960,SP.POP.GROW,Population growth (annual %),UMC,
uruguay,1960,SP.POP.GROW,Population growth (annual %),URY,1.333811504
united states,1960,SP.POP.GROW,Population growth (annual %),USA,1.701992777
uzbekistan,1960,SP.POP.GROW,Population growth (annual %),UZB,3.280757842
st. vincent and the grenadines,1960,SP.POP.GROW,Population growth (annual %),VCT,1.65791288
"venezuela, rb",1960,SP.POP.GROW,Population growth (annual %),VEN,3.750555022
british virgin islands,1960,SP.POP.GROW,Population growth (annual %),VGB,1.265284653
virgin islands (u.s.),1960,SP.POP.GROW,Population growth (annual %),VIR,4.725288485
vietnam,1960,SP.POP.GROW,Population growth (annual %),VNM,3.020929417
vanuatu,1960,SP.POP.GROW,Population growth (annual %),VUT,3.03625915
world,1960,SP.POP.GROW,Population growth (annual %),WLD,
samoa,1960,SP.POP.GROW,Population growth (annual %),WSM,3.052202578
kosovo,1960,SP.POP.GROW,Population growth (annual %),XKX,2.02673604
"yemen, rep.",1960,SP.POP.GROW,Population growth (annual %),YEM,1.668753089
south africa,1960,SP.POP.GROW,Population growth (annual %),ZAF,2.593164846
zambia,1960,SP.POP.GROW,Population growth (annual %),ZMB,3.012664732
zimbabwe,1960,SP.POP.GROW,Population growth (annual %),ZWE,3.199877168
aruba,1961,SP.POP.GROW,Population growth (annual %),ABW,2.238143931
afghanistan,1961,SP.POP.GROW,Population growth (annual %),AFG,1.876528345
angola,1961,SP.POP.GROW,Population growth (annual %),AGO,1.927753879
albania,1961,SP.POP.GROW,Population growth (annual %),ALB,3.120855371
andorra,1961,SP.POP.GROW,Population growth (annual %),AND,6.941532095
arab world,1961,SP.POP.GROW,Population growth (annual %),ARB,2.760881467
united arab emirates,1961,SP.POP.GROW,Population growth (annual %),ARE,8.723625113
argentina,1961,SP.POP.GROW,Population growth (annual %),ARG,1.606889087
armenia,1961,SP.POP.GROW,Population growth (annual %),ARM,3.531701867
american samoa,1961,SP.POP.GROW,Population growth (annual %),ASM,2.335966362
antigua and barbuda,1961,SP.POP.GROW,Population growth (annual %),ATG,1.444191476
australia,1961,SP.POP.GROW,Population growth (annual %),AUS,1.989740046
austria,1961,SP.POP.GROW,Population growth (annual %),AUT,0.548472356
azerbaijan,1961,SP.POP.GROW,Population growth (annual %),AZE,3.405043431
burundi,1961,SP.POP.GROW,Population growth (annual %),BDI,1.904151761
belgium,1961,SP.POP.GROW,Population growth (annual %),BEL,0.332205946
benin,1961,SP.POP.GROW,Population growth (annual %),BEN,1.39849454
burkina faso,1961,SP.POP.GROW,Population growth (annual %),BFA,1.342942567
bangladesh,1961,SP.POP.GROW,Population growth (annual %),BGD,2.849193015
bulgaria,1961,SP.POP.GROW,Population growth (annual %),BGR,0.958155881
bahrain,1961,SP.POP.GROW,Population growth (annual %),BHR,3.310415782
"bahamas, the",1961,SP.POP.GROW,Population growth (annual %),BHS,4.969059376
bosnia and herzegovina,1961,SP.POP.GROW,Population growth (annual %),BIH,1.932248988
belarus,1961,SP.POP.GROW,Population growth (annual %),BLR,0.889131363
belize,1961,SP.POP.GROW,Population growth (annual %),BLZ,2.826169131
bermuda,1961,SP.POP.GROW,Population growth (annual %),BMU,2.477477477
bolivia,1961,SP.POP.GROW,Population growth (annual %),BOL,1.913748217
brazil,1961,SP.POP.GROW,Population growth (annual %),BRA,2.926271833
barbados,1961,SP.POP.GROW,Population growth (annual %),BRB,0.319487018
brunei darussalam,1961,SP.POP.GROW,Population growth (annual %),BRN,4.603390726
bhutan,1961,SP.POP.GROW,Population growth (annual %),BTN,2.490144279
botswana,1961,SP.POP.GROW,Population growth (annual %),BWA,2.391710923
central african republic,1961,SP.POP.GROW,Population growth (annual %),CAF,1.696133462
canada,1961,SP.POP.GROW,Population growth (annual %),CAN,2.00112211
central europe and the baltics,1961,SP.POP.GROW,Population growth (annual %),CEB,0.914136246
switzerland,1961,SP.POP.GROW,Population growth (annual %),CHE,1.978615059
channel islands,1961,SP.POP.GROW,Population growth (annual %),CHI,0.89073872
chile,1961,SP.POP.GROW,Population growth (annual %),CHL,2.223881424
china,1961,SP.POP.GROW,Population growth (annual %),CHN,-1.015527787
cote d'ivoire,1961,SP.POP.GROW,Population growth (annual %),CIV,3.728914085
cameroon,1961,SP.POP.GROW,Population growth (annual %),CMR,2.083199368
"congo, dem. rep.",1961,SP.POP.GROW,Population growth (annual %),COD,2.522196781
"congo, rep.",1961,SP.POP.GROW,Population growth (annual %),COG,2.559565161
colombia,1961,SP.POP.GROW,Population growth (annual %),COL,3.000174395
comoros,1961,SP.POP.GROW,Population growth (annual %),COM,1.566766203
cabo verde,1961,SP.POP.GROW,Population growth (annual %),CPV,1.786137925
costa rica,1961,SP.POP.GROW,Population growth (annual %),CRI,3.600961741
caribbean small states,1961,SP.POP.GROW,Population growth (annual %),CSS,1.893501357
cuba,1961,SP.POP.GROW,Population growth (annual %),CUB,2.060795012
curacao,1961,SP.POP.GROW,Population growth (annual %),CUW,1.03527111
cayman islands,1961,SP.POP.GROW,Population growth (annual %),CYM,2.026373533
cyprus,1961,SP.POP.GROW,Population growth (annual %),CYP,0.602964435
czech republic,1961,SP.POP.GROW,Population growth (annual %),CZE,-0.160042501
germany,1961,SP.POP.GROW,Population growth (annual %),DEU,0.769854344
djibouti,1961,SP.POP.GROW,Population growth (annual %),DJI,5.650590348
dominica,1961,SP.POP.GROW,Population growth (annual %),DMA,1.687043804
denmark,1961,SP.POP.GROW,Population growth (annual %),DNK,0.698142052
dominican republic,1961,SP.POP.GROW,Population growth (annual %),DOM,3.351098252
algeria,1961,SP.POP.GROW,Population growth (annual %),DZA,2.485473208
east asia & pacific (excluding high income),1961,SP.POP.GROW,Population growth (annual %),EAP,-0.046902851
early-demographic dividend,1961,SP.POP.GROW,Population growth (annual %),EAR,2.372762974
east asia & pacific,1961,SP.POP.GROW,Population growth (annual %),EAS,0.346379608
europe & central asia (excluding high income),1961,SP.POP.GROW,Population growth (annual %),ECA,1.562978079
europe & central asia,1961,SP.POP.GROW,Population growth (annual %),ECS,1.157981247
ecuador,1961,SP.POP.GROW,Population growth (annual %),ECU,2.847799835
"egypt, arab rep.",1961,SP.POP.GROW,Population growth (annual %),EGY,2.733681312
euro area,1961,SP.POP.GROW,Population growth (annual %),EMU,0.915161647
eritrea,1961,SP.POP.GROW,Population growth (annual %),ERI,2.484041012
spain,1961,SP.POP.GROW,Population growth (annual %),ESP,0.929015535
estonia,1961,SP.POP.GROW,Population growth (annual %),EST,1.11138977
ethiopia,1961,SP.POP.GROW,Population growth (annual %),ETH,2.319976308
european union,1961,SP.POP.GROW,Population growth (annual %),EUU,0.856790273
fragile and conflict affected situations,1961,SP.POP.GROW,Population growth (annual %),FCS,2.309510737
finland,1961,SP.POP.GROW,Population growth (annual %),FIN,0.705711484
fiji,1961,SP.POP.GROW,Population growth (annual %),FJI,3.440508626
france,1961,SP.POP.GROW,Population growth (annual %),FRA,1.337853117
faroe islands,1961,SP.POP.GROW,Population growth (annual %),FRO,1.301325404
"micronesia, fed. sts.",1961,SP.POP.GROW,Population growth (annual %),FSM,3.134235244
gabon,1961,SP.POP.GROW,Population growth (annual %),GAB,0.993279713
united kingdom,1961,SP.POP.GROW,Population growth (annual %),GBR,0.760459939
georgia,1961,SP.POP.GROW,Population growth (annual %),GEO,1.578435862
ghana,1961,SP.POP.GROW,Population growth (annual %),GHA,3.16994894
gibraltar,1961,SP.POP.GROW,Population growth (annual %),GIB,1.661759308
guinea,1961,SP.POP.GROW,Population growth (annual %),GIN,1.559940778
"gambia, the",1961,SP.POP.GROW,Population growth (annual %),GMB,2.366006442
guinea-bissau,1961,SP.POP.GROW,Population growth (annual %),GNB,1.130172439
equatorial guinea,1961,SP.POP.GROW,Population growth (annual %),GNQ,1.409399728
greece,1961,SP.POP.GROW,Population growth (annual %),GRC,0.792901847
grenada,1961,SP.POP.GROW,Population growth (annual %),GRD,1.535952107
greenland,1961,SP.POP.GROW,Population growth (annual %),GRL,3.625774802
guatemala,1961,SP.POP.GROW,Population growth (annual %),GTM,2.934517666
guam,1961,SP.POP.GROW,Population growth (annual %),GUM,1.973152864
guyana,1961,SP.POP.GROW,Population growth (annual %),GUY,3.006876299
high income,1961,SP.POP.GROW,Population growth (annual %),HIC,1.504801674
"hong kong sar, china",1961,SP.POP.GROW,Population growth (annual %),HKG,2.963040924
honduras,1961,SP.POP.GROW,Population growth (annual %),HND,2.79434797
heavily indebted poor countries (hipc),1961,SP.POP.GROW,Population growth (annual %),HPC,2.37111434
croatia,1961,SP.POP.GROW,Population growth (annual %),HRV,0.762112684
haiti,1961,SP.POP.GROW,Population growth (annual %),HTI,1.977265841
hungary,1961,SP.POP.GROW,Population growth (annual %),HUN,0.453239644
ibrd only,1961,SP.POP.GROW,Population growth (annual %),IBD,1.080376325
ida & ibrd total,1961,SP.POP.GROW,Population growth (annual %),IBT,1.305496371
ida total,1961,SP.POP.GROW,Population growth (annual %),IDA,2.433995746
ida blend,1961,SP.POP.GROW,Population growth (annual %),IDB,2.395303779
indonesia,1961,SP.POP.GROW,Population growth (annual %),IDN,2.636818998
ida only,1961,SP.POP.GROW,Population growth (annual %),IDX,2.45237892
isle of man,1961,SP.POP.GROW,Population growth (annual %),IMN,-0.33290975
india,1961,SP.POP.GROW,Population growth (annual %),IND,1.98565941
not classified,1961,SP.POP.GROW,Population growth (annual %),INX,
ireland,1961,SP.POP.GROW,Population growth (annual %),IRL,-0.148593694
"iran, islamic rep.",1961,SP.POP.GROW,Population growth (annual %),IRN,2.584282652
iraq,1961,SP.POP.GROW,Population growth (annual %),IRQ,2.514044762
